city_name,activity,tour_name,kyeword,type,특이사항
뉴욕,9660,아트어드바이저와 함께 하는 아트 뉴욕-메트로폴리탄 미술관 투어,#세계 #미술 #역사 #지식 #이해 #큐레이터 #아트어드바이저 #설명 #질의응답 #하이라이트 #비하인드 #3시간 #자녀 #혼자,문화예술,
뉴욕,5665,"뉴욕 미술가 와 함께하는 미술다큐 1 "" 뉴욕의 미술관 "" 모마 또는 휘트니 뮤지엄",#현대미술 #스토리 #미술 #역사 #전문가 #예술 #감성 #호퍼 #휘트니 #반고흐 #거장 #숨결 #혼,문화예술,
뉴욕,2097,뉴욕 야경 투어,#야경 #색감 #센스 #위치선정 #자동차 #드립 #배경음악 #음악 #유쾌 #시각 #청각 #분위메이커 #사진 #촬영 #인생사진 #영화 #예쁘다 #덤부 #퀸즈 #맨하튼 #전경,도시,
뉴욕,5833,덤보+야경투어 뉴요커처럼 즐기기,#로컬 #라이브 #펍 #피자 #라운지바 #재즈바 #뉴요커 #도보 #술 #클럽 #스냅 #사진 #작가 #즐거움 #독특함 #서비스 #댄스 #현지인 #흥,도시,
뉴욕,6282,"뉴욕 미술가와 함께하는 미술다큐 2 "" 뉴욕의 미술관 "" ( Met ) 메트로폴리탄 투어",#미술 #역사 #실내 #행복 #신념 #사랑,문화예술,"겹침,"
뉴욕,10504,맨하탄 미드타운 다운타운 차량 투어(자유의 여신상 페리 포함),#맛집 #자유의여신상 #페리 #자동차 #미드타운 #다운타운 #유명관광지 #간식 #커피 #랜드마크,맛집,새로운 type
뉴욕,714,뉴욕 단독 차량 투어,#가족 #부모 #자녀 #친구 #랜드마크 #종합 #차량,가족적,특징 없음
뉴욕,84,낮투어 뉴욕 제대로 보기,#맛집 #쇼핑 #카페 #패션 #소호 #나홀로 #사회학 #도보 #북카페,도시적,
뉴욕,5981,[주말 투어] 뉴욕 핫 포토 스팟(스냅 포함),#나홀로투어 #패션 #디자이너 #디자인 #스냅사진 #사진 #프사 #도보 #나홀로 #아트 #건축물 #가성비 #카메라 #소소,셀피적,새로운 type
하와이,6507,[투어] 한가족만! 지상의 낙원 하와이를 천천히~여유롭게~하루만에 알짜배기 투어!,#가족 #친구 #신혼여행 #백사장 #파도 #물개 #섬 #가격이 있음 #편안 #힐링 #휴양지 #여유 #차량 #맞춤형 #안전 #낭만,자연친화적/가족적,태그 2개
하와이,41529,[투어] 쿠알로아 목장 미국/하와이,"#버스 #무비투어 #정글 #농장 #짚나인 #utv #atv #젊은층 #전기자전거 #승마, #배",체험중심/도전적,태그 2개
하와이,6561,[투어] 호놀룰루 야경 & 최고의 별미 하와이 도너츠 (말라사다) 맛탐방 :: 미국/하와이,#시내 #야경 #역사 #건축물 #차량 #노을 #도넛 #시티투어 #다운타운 #불꽃놀이,도시적,
하와이,42500,[투어] 하와이 오아후섬 일주관광 1일 투어 미국/하와이,#쇼핑 #파인애플 #아이스크림 #명소 #드라이브 #사진 #차량 #관광 #약쇼핑?,?,"특징x,부정적 의견 많음 삭제 요망"
하와이,6509,[투어] 한가족만! 호놀룰루 다운타운시내관광(공항픽업후 호텔 첵인시간동안 ) :: 하와이,#역사 #가족 #시내 #호놀룰루 #일본 #조선 #비극적 와엉 #군주 #여왕 #식민지,지식추구,
하와이,40611,[투어] 카우아이 일일관광 (와이키키 호텔 픽업) :: 미국/하와이,#공원 #도시락 #반찬 #포케 #사진 #카우아이 #섬 #피크닉 #자연 #바다 #해변,자연친화적/가족적,
하와이,7450,[투어] 오아후섬 HOT 인기폭발 다이아몬드헤드 일출,#등반 #일출 #정상 #등산 #운동화 #하이킹 #다이아몬드헤드 #화산 #분화구,모험,
하와이,22363,[단독투어] 인증샷 투어 - 하와이를 단 하루만에,#아울렛 #마트 #인증샷 #드라이빙 #차량 #관광 #명소,자연친화적/도시적,태그2개고민중
하와이,40063,하와이 : 마우이 할레아칼라 국립 공원 해돋이 일출 투어,#차량 #할레아칼라 #새벽 #일출 #국립공원 #매우추움 #두꺼운옷 #비쌈 #어르신,자연친화적/모험적,
